FSID,mapping_period,month,region,satellite,upload_date,file_name,current,comment,R,G,B
233,2023/01/01-2023/07/31,7,WAN,MODIS/Sent2,20230923,FS_WAN_Jan_July_Review_2023,,,,,
234,2023/01/01-2023/07/31,1,QLDN,MODIS/Sent2,20230912,FS_QLDN_Jan_July_Review_2023,,,,,
235,2023/01/01-2023/07/31,2,QLDN,MODIS/Sent2,20230912,FS_QLDN_Jan_July_Review_2023,,,,,
236,2023/01/01-2023/07/31,3,QLDN,MODIS/Sent2,20230912,FS_QLDN_Jan_July_Review_2023,,,,,
237,2023/01/01-2023/07/31,4,QLDN,MODIS/Sent2,20230912,FS_QLDN_Jan_July_Review_2023,,,,,
238,2023/01/01-2023/07/31,5,QLDN,MODIS/Sent2,20230912,FS_QLDN_Jan_July_Review_2023,,,,,
239,2023/01/01-2023/07/31,6,QLDN,MODIS/Sent2,20230912,FS_QLDN_Jan_July_Review_2023,,,,,
240,2023/01/01-2023/07/31,7,QLDN,MODIS/Sent2,20230912,FS_QLDN_Jan_July_Review_2023,,,,,
241,2023/01/01-2023/07/31,1,NT,MODIS/Sent2,20230912,FS_NT_Jan_July_Review_2023,,,,,
242,2023/01/01-2023/07/31,2,NT,MODIS/Sent2,20230912,FS_NT_Jan_July_Review_2023,,,,,
243,2023/01/01-2023/07/31,3,NT,MODIS/Sent2,20230912,FS_NT_Jan_July_Review_2023,,,,,
244,2023/01/01-2023/07/31,4,NT,MODIS/Sent2,20230912,FS_NT_Jan_July_Review_2023,,,,,
245,2023/01/01-2023/07/31,5,NT,MODIS/Sent2,20230912,FS_NT_Jan_July_Review_2023,,,,,
246,2023/01/01-2023/07/31,6,NT,MODIS/Sent2,20230912,FS_NT_Jan_July_Review_2023,,,,,
247,2023/01/01-2023/07/31,7,NT,MODIS/Sent2,20230912,FS_NT_Jan_July_Review_2023,,,,,
248,2023/09/08-2023/09/12,9,NT,MODIS,20230912,FSNT_TenantBarkley_20230908-20230912,,,,,
249,2023/09/10-2023/09/13,9,NT,MODIS,20230913,FSNT_20230910-20230913_cent,,,,,
250,2023/09/01-2023/09/13,9,NT,MODIS,20230914,WAN_NTAOI_Firescars_20230913,,,,,
251,2023/09/01-2023/09/13,9,WAN,MODIS,20230914,WAN_NTAOI_Firescars_20230913,,,,,
252,2023/09/05-2023/09/12,9,QLDN,MODIS,20230914,FSQLDN_20230905-20230912,,,,,
253,2023/09/10-2023/09/13,9,NT,MODIS,20230914,FSNT_20230910-20230913_Miguel,,,,,
254,2023/08/26-2023/09/14,9,WAN,Sentinel 2,20230915,WAN_S2_20230826-20230914,,20230914 S2 SwathExtent,,,
255,2023/09/13-2023/09/15,9,WAN,MODIS,20230915,WAN_20230913-20230915,,,,,
256,2023/09/13-2023/09/14,9,NT,MODIS,20230915,FSNT_20230913-20230914_Miguel,,,,,
257,2023/09/13-2023/09/15,9,NT,MODIS,20230915,FSNT_20230913-20230915_Miguel,,,,,
258,2023/09/15-2023/09/17,9,NT,MODIS,20230921,FSNT_20230915-20230917_Miguel,,,,,
259,2023/09/15-2023/09/20,9,NT,MODIS,20230921,FSNT_20230915-20230920,,,,,
260,2023/08/31-2023/09/16,9,QLDS,MODIS,20230921,FSQLDS_20230831-20230916,,,,,
261,2023/08/31-2023/09/21,9,QLDN,MODIS,20230921,FSQLDN_20230831-20230921,,,,,
262,2023/09/01-2023/09/21,9,WAN,Sentinel 2,20230923,FSWAN_S2_20230901-20230921,,,,,
263,2023/09/15-2023/09/21,9,WAN,MODIS,20230923,FSWAN_20230915-20230921,,,,,
264,2023/01/01-2023/07/31,1,WAS,MODIS/Sent2,20230923,FS_WAS_Jan_July_Review_2023,,,,,
265,2023/01/01-2023/07/31,2,WAS,MODIS/Sent2,20230923,FS_WAS_Jan_July_Review_2023,,,,,
266,2023/01/01-2023/07/31,3,WAS,MODIS/Sent2,20230923,FS_WAS_Jan_July_Review_2023,,,,,
267,2023/01/01-2023/07/31,4,WAS,MODIS/Sent2,20230923,FS_WAS_Jan_July_Review_2023,,,,,
268,2023/01/01-2023/07/31,5,WAS,MODIS/Sent2,20230923,FS_WAS_Jan_July_Review_2023,,,,,
269,2023/01/01-2023/07/31,6,WAS,MODIS/Sent2,20230923,FS_WAS_Jan_July_Review_2023,,,,,
270,2023/01/01-2023/07/31,7,WAS,MODIS/Sent2,20230923,FS_WAS_Jan_July_Review_2023,,,,,
271,2023/09/16-2023/09/21,9,QLDS,MODIS,20230925,FSQLDS_20230916-20230921,,,,,
272,2023/09/15-2023/09/24,9,NT,MODIS,20230925,FSNT_20230915-20230924,,,,,
273,2023/09/21-2023/09/26,9,QLDN,MODIS,20230926,FSQLDN_2023092120230926,,,,,
274,2023/09/10-2023/09/26,9,WAN,MODIS/Sent2,20230926,FSWAN_20230910-20230926,,,,,
275,2023/09/01-2023/09/25,9,WAS,Sentinel 2,20230926,FSWAS_20230901-20230925,yes,,,,
276,2023/08/29-2023/09/27,9,NT,MODIS,20230928,FSNT_20230829-20230927,,,,,
277,2023/09/25-2023/09/30,9,WAN,MODIS,20231003,FSWAN_202309025-20230930,,,,,
278,2023/10/01-2023/10/02,10,WAN,MODIS,20231003,FSWAN_20231001-20231002,,,,,
279,2023/09/21-2023/10/01,9,QLDN,MODIS,20231003,FSQLDN_20230921-20231001,,,,,
280,2023/07/07-2023/10/10,7,SA,Sentinel 2,20231003,FSSA_20230707-20231001,,,,,
281,2023/07/07-2023/10/10,8,SA,Sentinel 2,20231003,FSSA_20230707-20231001,,,,,
282,2023/07/07-2023/10/10,9,SA,Sentinel 2,20231003,FSSA_20230707-20231001,,,,,
283,2023/09/17-2023/10/02,9,NT,MODIS,20231005,FSNT_20230917-20231002_nthCent,,,,,
284,2023/09/25-2023/09/30,9,WAN,MODIS,20231008,FSWAN_20230925-20231002_Ammended20231008,,,,,
285,2023/09/25-2023/09/30,9,WAN,Sentinel 2,20231008,FSWAN_S2_20230925-20231007,,,,,
286,2023/10/01-2023/10/07,10,WAN,Sentinel 2,20231008,FSWAN_S2_20230925-20231007,,,,,
287,2023/09/30-2023/09/30,9,WAN,MODIS,20231008,FSWAN_20230930-20231007,,,,,
288,2023/10/01-2023/10/07,10,WAN,MODIS,20231008,FSWAN_20230930-20231007,,,,,
289,2023/09/30-2023/10/08,10,NT,MODIS,20231009,FSNT_20230930-20231008,,,,,
290,2023/10/01-2023/10/10,10,QLDN,MODIS,20231012,FSQLDN_20231001-20231010,,,,,
291,2023/10/01-2023/10/14,10,NT,MODIS,20131016,FSNT_20230930-20231014,,,,,
292,2023/09/21-2023/09/28,9,QLDS,MODIS,20231016,FSQLDS_20230921-20230928,,,,,
293,2023/09/28-2023/10/15,10,QLDS,MODIS,20231017,FSQLDS_20230928-20231015,,,,,
294,2023/09/25-2023/09/30,9,WAN,Sentinel 2,20231017,FSWAN_S2_20230925-20230915,,,,,
295,2023/10/01-2023/10/15,10,WAN,Sentinel 2,20231017,FSWAN_S2_20230925-20230915,,,,,
296,2023/10/05-2023/10/15,10,WAN,MODIS,20231017,FSWAN_20231005-20231015,,,,,
297,2023/10/10-2023/10/15,10,QLDN,MODIS,20231017,FSQLDN_20231010-20231015,,,,,
298,2023/08/30-2023/09/25,9,NT,Sentinel 2,20231018,Centa_20230830-20230920,,,,,
299,2023/09/25-2023/10/10,10,NT,Sentinel 2,20231018,Centa_20230925-20231010,,,,,
300,2023/09/27-2023/10/18,10,NT,MODIS,20231018,FSNT_20230927-20231018,,,,,
301,2023/10/15-2023/10/17,10,WAN,MODIS,20231018,FSWAN_20231015-20231017,,,,,
302,2023/10/15-2023/10/22,10,QLDN,MODIS,20231023,FSQLDN_20231015-20231022,,,,,
303,2023/10/18-2023/10/22,10,NT,MODIS,20231023,FSNT_20231018-202310123,,,,,
304,2023/10/15-2023/10/22,10,QLDS,MODIS,20231025,FSQLDS_2023101520231022,,,,,
305,2023/10/17-2023/10/24,10,WAN,MODIS,20231025,FSWAN_20231017-20231024,,,,,
306,2023/10/22-2023/10/26,10,NT,MODIS,20231027,FSNT_20231023-202310126,,,,,
307,2023/10/26-2023/10/28,10,NT,MODIS,20231028,FSNT_20231026-202310128,,,,,
308,2023/10/24-2023/10/27,10,WAN,MODIS,20231028,FSWAN_20231024-20231027,,,,,
309,2023/10/22-2023/10/28,10,QLDS,MODIS,20231028,FSQLDS_20231022-20231028_Carnarvon,,,,,
310,2023/10/22-2023/10/27,10,QLDN,MODIS,20231030,FSQLDN_20231022-20231027,,,,,
311,2023/10/01-2023/10/29,10,QLDS,Sentinel 2,20231031,FSQLDS_20231001-20231029_Isa,,,,,
312,2023/10/27-2023/10/31,10,WAN,MODIS,20231031,FSWAN_20231027-20231031,yes,,,,
313,2023/10/15-2023/10/30,10,QLDS,MODIS,20231101,FSQLDS_20231015-20231030,yes,,,,
314,2023/10/27-2023/11/01,10,QLDN,MODIS,20231101,FSQLDN_20231027-20231101,yes,,,,
315,2023/10/28-2023/10/31,10,NT,MODIS,20231101,FSNT_20231028-20231031,yes,,,,
316,2023/07/07-2023/11/02,11,SA,Sentinel 2,20231103,FSSA_20230707-20231102,yes,,,,
317,,,,,,,,,,,
318,,,,,,,,,,,
319,,,,,,,,,,,
320,,,,,,,,,,,
321,,,,,,,,,,,
322,,,,,,,,,,,
323,,,,,,,,,,,
324,,,,,,,,,,,
325,,,,,,,,,,,
