FSID,mapping_period,month,region,satellite,upload_date,file_name,current,comment,R,G,B
109,2023/05/01-2023/05/31,5,WAS,Sentinel 2,20230603,FSWAS_S2Clip20230529,,,,,
110,2023/05/12-2023/02/31,5,WAS,MODIS,20230603,FSWAS_20230512-20230531,,,,,
111,2023/05/28-2023/05/31,5,WAN,MODIS,20230603,FSWAN_20230528-20230531,,,,,
112,2023/05/31-2023/06/02,6,WAN,MODIS,20230603,FSWAN_20230531-20230602,,,,,
113,2023/05/27-2023/06/02,6,QLDN,MODIS,20230605,FSQLDN_20230527-20230602,,,,,
114,2023/05/27-2023/06/01,5,NT,Sentinel 2,20230606,FSNT_20230527-20230602_sent2,,,,,
115,2023/06/01-2023/06/06,6,NT,MODIS,20230609,FSNT_202300601-20230606,,,,,
116,2023/06/02-2023/06/09,6,WAN,MODIS,20230609,FSWAN_20230602-20230609,,,,,
117,2023/05/26-2023/06/02,5,QLDS,MODIS,20230612,FSQLDS_20230526-20230602,,,,,
118,2023/06/02-2023/06/12,6,QLDN,MODIS,20230612,FSQLDN_20230602-20230612,,,,,
119,2023/06/02-2023/06/11,6,NT,MODIS,20230615,FSNT_20230606-20230611,,,,,
120,2023/04/01-2023/04/31,4,WAN,Sentinel 2,20230615,FSWAN_S2Mosaic_20230415-20230613,,,,,
121,2023/05/01-2023/05/31,5,WAN,Sentinel 2,20230615,FSWAN_S2Mosaic_20230415-20230613,,,,,
122,2023/06/01-2023/06/13,6,WAN,Sentinel 2,20230615,FSWAN_S2Mosaic_20230415-20230613,,,,,
123,2023/03/01-2023/03/31,3,WAS,Sentinel 2,20230619,FSWAS_S2Mosaic_20230415-20230613,,,,,
124,2023/04/01-2023/04/30,4,WAS,Sentinel 2,20230619,FSWAS_S2Mosaic_20230415-20230613,,,,,
125,2023/05/01-2023/05/31,5,WAS,Sentinel 2,20230619,FSWAS_S2Mosaic_20230415-20230613,,,,,
126,2023/06/01-2023/06/15,6,WAS,Sentinel 2,20230619,FSWAS_S2Mosaic_20230415-20230613,,,,,
127,2023/06/01-2023/06/15,6,NT,Sentinel 2,20230619,FSNT_2023-06-13_sent-map,,,,,
128,2023/06/02-2023/06/17,6,QLDS,MODIS,20230619,FSQLDS_20230602-20230617,,,,,
129,2023/06/12-2023/06/19,6,QLDN,MODIS,20230620,FSQLDN_20230612-20230619,,,,,
130,2023/06/02-2023/06/19,6,WAN,MODIS,20230621,FSWAN_20230602-20230619,,,,,
131,2023/01/01-2023/01/31,1,WAN,Sentinel 2,20230623,FSWAN_S2Mosaic_20221201-20230516,,,,,
132,2023/02/01-2023/02/28,2,WAN,Sentinel 2,20230623,FSWAN_S2Mosaic_20221201-20230516,,,,,
133,2023/03/01-2023/03/31,3,WAN,Sentinel 2,20230623,FSWAN_S2Mosaic_20221201-20230516,,,,,
134,2023/04/01-2023/04/30,4,WAN,Sentinel 2,20230623,FSWAN_S2Mosaic_20221201-20230516,,,,,
135,2023/05/01-2023/05/31,5,WAN,Sentinel 2,20230623,FSWAN_S2Mosaic_20221201-20230516,,,,,
136,2023/06/02-2023/06/24,6,WAN,MODIS,20230626,FSWAN_20230602-20230624,,,,,
137,2023/06/01-2023/06/24,6,WAS,MODIS,20230626,FSWAS_20230531-20230624,,,,,
138,2023/06/13-2023/06/23,6,NT,MODIS,20230627,FSNT_20230613-20230623,,,,,
139,2023/06/13-2023/06/30,6,NT,MODIS,20230704,FSNT_202300613-20230630_topend,,,,,
140,2023/06/19-2023/06/29,6,QLDN,MODIS,20230707,FSQLDN_20230619-20230629,,,,,
141,2023/04/01-2023/04/30,4,WAN,Sentinel 2,20230708,FSWAN_S2Mosaic_20230515-20230707,,,,,
142,2023/05/01-2023/05/31,5,WAN,Sentinel 2,20230708,FSWAN_S2Mosaic_20230515-20230707,,,,,
143,2023/06/01-2023/06/30,6,WAN,Sentinel 2,20230708,FSWAN_S2Mosaic_20230515-20230707,,,,,
144,2023/06/01-2023/07/07,6,WAS,Sentinel 2,20230708,FSWAS_S2Mosaic_20230515-20230707,,,,,
145,2023/07/01-2023/07/07,7,WAS,Sentinel 2,20230708,FSWAS_S2Mosaic_20230515-20230707,,,,,
146,2023/05/28-2023/07/11,5,SA,MODIS,20230712,FSSA_20230528-20230711,,,,,
147,2023/05/28-2023/07/11,6,SA,MODIS,20230712,FSSA_20230528-20230711,,,,,
148,2023/06/17-2023/07/08,6,QLDS,MODIS,20230712,FSQLDS_20230617-20230708,,,,,
149,2023/06/17-2023/07/08,7,QLDS,MODIS,20230712,FSQLDS_20230617-20230708,,,,,
150,2023/04/01-2023/04/30,4,WAN,MODIS,20230712,FSWAN_20230602-20230711,,,,,
151,2023/05/01-2023/05/31,5,WAN,MODIS,20230712,FSWAN_20230602-20230711,,,,,
152,2023/06/01-2023/06/310,6,WAN,MODIS,20230712,FSWAN_20230602-20230711,,,,,
153,2023/07/01-2023/07/11,7,WAN,MODIS,20230712,FSWAN_20230602-20230711,,,,,
154,2023/06/13-2023/06/30,6,NT,Sentinel 2,20230712,FSNT_202300630-20230710_topend,,,,,
155,2023/06/13-2023/07/10,7,NT,Sentinel 2,20230712,FSNT_202300630-20230710_topend,,,,,
156,2023/06/29-2023/07/12,7,QLDN,,20230713,FSQLDN_20230629-20230712,,,,,
157,2023/04/19-2023/07/10,5,NT,Sentinel,20230718,Centa_2023-04-19_20230710,,,,,
158,2023/04/19-2023/07/10,6,NT,Sentinel,20230718,Centa_2023-04-19_20230710,,,,,
159,2023/04/19-2023/07/10,7,NT,Sentinel,20230718,Centa_2023-04-19_20230710,,,,,
160,2023/04/01-2023/04/30,4,WAN,Sentinel 2,20230718,FSWAN_S2Mosaic_20230515-20230716,,,,,
161,2023/05/01-2023/05/31,5,WAN,Sentinel 2,20230718,FSWAN_S2Mosaic_20230515-20230716,,,,,
162,2023/06/01-2023/06/30,6,WAN,Sentinel 2,20230718,FSWAN_S2Mosaic_20230515-20230716,,,,,
163,2023/07/01-2023/07/16,7,WAN,Sentinel 2,20230718,FSWAN_S2Mosaic_20230515-20230716,,,,,
164,2023/05/01-2023/05/31,5,WAS,Sentinel 2,20230718,FSWAS_S2Mosaic_20230515-20230716,,,,,
165,2023/06/01-2023/06/30,6,WAS,Sentinel 2,20230718,FSWAS_S2Mosaic_20230515-20230716,,,,,
166,2023/07/01-2023/07/16,7,WAS,Sentinel 2,20230718,FSWAS_S2Mosaic_20230515-20230716,,,,,
167,2023/07/06-2023/07/17,7,WAN,MODIS,20230718,FSWAN_20230706-20230717,,,,,
168,2023/07/01-2023/07/15,7,NT,MODIS/S2,,FSNT_20230709-20230715,,,,,
169,2023/06/29-2023/07/19,7,QLDN,MODIS,20230720,FSQLDN_20230629-20230719,,,,,
170,2023/07/15-2023/07/23,7,NT,MODIS,20230725,FSNT_202300715-20230723,,,,,
171,2023/07/08-2023/07/19,7,QLDS,MODIS,20230725,FSQLDS_20230708-20230719,,,,,
172,2023/07/17-2023/07/25,7,WAN,MODIS,20230725,FSWAN_20230717-20230725,,,,,
